,name,rating,reviews,lat,lng,address,types,neighbourhood,density,income,district_x,district_y,hotel_count
0,El Nacional Barcelona,4.4,37535.0,41.390583,2.1683914,"Pg. de Gràcia, 24 Bis, L'Eixample, 08007 Barcelona, Spain","spanish_restaurant, restaurant, point_of_interest, food, establishment",el raval,429,11045.714285714286,ciutat vella,ciutat vella,50
1,Cerveceria Catalana,4.4,22330.0,41.3923251,2.1608515,"Carrer de Mallorca, 236, L'Eixample, 08008 Barcelona, Spain","spanish_restaurant, bar, restaurant, point_of_interest, food, establishment",el barri gòtic,268,14032.444444444443,ciutat vella,ciutat vella,59
2,Vinitus,4.5,15137.0,41.3900261,2.1640484,"Carrer del Consell de Cent, 333, L'Eixample, 08007 Barcelona, Spain","mediterranean_restaurant, bar, restaurant, point_of_interest, food, establishment",la barceloneta,124,14063.454545454546,ciutat vella,ciutat vella,5
3,Ciutat Comtal,4.4,20562.0,41.3888535,2.1667706,"Rambla de Catalunya, 18, Eixample, 08007 Barcelona, Spain","spanish_restaurant, bar, restaurant, point_of_interest, food, establishment","sant pere, santa caterina i la ribera",199,15395.615384615385,ciutat vella,ciutat vella,23
4,La Flauta | Aribau,4.5,11859.0,41.3868596,2.1610638,"Carrer d'Aribau, 23, L'Eixample, 08011 Barcelona, Spain","mediterranean_restaurant, spanish_restaurant, restaurant, point_of_interest, food, establishment",el fort pienc,336,19193.3,l'eixample,eixample,10
5,Honest Greens Plaça Catalunya,4.5,10272.0,41.3876946,2.1680496,"Rambla de Catalunya, 3, Eixample, 08007 Barcelona, Spain","mediterranean_restaurant, fast_food_restaurant, vegan_restaurant, vegetarian_restaurant, restaurant, point_of_interest, food, establishment",la sagrada família,493,18661.08823529412,l'eixample,eixample,4
6,Colom Restaurant,4.7,26749.0,41.3798528,2.1765,"Carrer dels Escudellers, 33, Ciutat Vella, 08002 Barcelona, Spain","mediterranean_restaurant, spanish_restaurant, seafood_restaurant, restaurant, point_of_interest, food, establishment",la dreta de l'eixample,211,23913.241379310344,l'eixample,eixample,94
7,Paradiso,4.3,6625.0,41.3836774,2.1836913,"Carrer de Rera Palau, 4, Ciutat Vella, 08003 Barcelona, Spain","bar, sandwich_shop, restaurant, point_of_interest, food, establishment",l'antiga esquerra de l'eixample,342,22555.19230769231,l'eixample,eixample,28
8,Hard Rock Cafè,4.4,24903.0,41.3858942,2.1707583,"Pl. de Catalunya, 21, Ciutat Vella, 08002 Barcelona, Spain","american_restaurant, hamburger_restaurant, event_venue, bar, restaurant, point_of_interest, food, establishment",la nova esquerra de l'eixample,426,20893.1,l'eixample,eixample,16
9,Cañete,4.6,7019.0,41.37915280000001,2.173125,"Carrer de la Unió, 17, Ciutat Vella, 08001 Barcelona, Spain","restaurant, spanish_restaurant, bar, point_of_interest, food, establishment",sant antoni,473,18695.666666666668,l'eixample,eixample,14
10,La Pepita,4.5,6813.0,41.3979631,2.1610472,"Carrer de Còrsega, 343, Gràcia, 08037 Barcelona, Spain","restaurant, food, point_of_interest, establishment",la marina del prat vermell,1,12529.0,sants-montjuic,sants-montjuïc,1
