Neighbourhood,Density,Income,_id
el raval,429,11045.714285714286,11.0
el barri gòtic,268,14032.444444444445,26.0
la barceloneta,124,14063.454545454546,36.0
"sant pere, santa caterina i la ribera",199,15395.615384615385,48.0
el fort pienc,336,19193.3,64.5
la sagrada família,493,18661.08823529412,91.5
la dreta de l'eixample,211,23913.241379310344,123.0
l'antiga esquerra de l'eixample,342,22555.19230769231,150.5
la nova esquerra de l'eixample,426,20893.1,183.5
sant antoni,473,18695.666666666668,215.5
el poble sec,86,14375.791666666666,239.5
la marina del prat vermell,1,12529.0,252.0
la marina de port,242,14265.235294117647,274.2352941176471
la font de la guatlla,339,17320.14285714286,270.0
hostafrancs,386,16617.1,278.5
la bordeta,337,16816.846153846152,290.0
sants,394,18093.344827586207,327.0
les corts,322,23420.285714285714,362.0
la maternitat i sant ramon,123,20916.733333333334,387.46666666666664
pedralbes,43,30790.0,397.0
"vallvidrera, el tibidabo i les planes",4,23801.333333333332,403.0
sarrià,80,28640.875,412.5
les tres torres,206,33338.545454545456,426.0
el putxet i el farró,349,23638.736842105263,490.0
vallcarca i els penitents,129,21755.545454545456,505.0
el coll,215,16869.4,513.0
la salut,205,20674.4,520.5
la vila de gràcia,375,19559.666666666668,543.5
el camp d'en grassot i gràcia nova,537,20501.48,574.0
el baix guinardó,455,17954.63157894737,596.0
can baró,240,16608.85714285714,609.0
el guinardó,282,17264.48,625.0
la font d'en fargues,144,20806.85714285714,641.0
el carmel,345,12861.5,655.5
la teixonera,353,14003.375,670.5
sant genís dels agudells,43,14680.6,677.0
montbau,25,16587.25,681.5
la vall d'hebron,79,18666.5,685.5
la clota,39,16063.0,688.0
horta,90,17006.809523809523,699.0
vilapicina i la torre llobeta,455,16041.105263157895,719.0
porta,328,14412.666666666666,737.5
el turó de la peira,452,12352.3,751.5
can peguera,186,11552.5,757.5
la guineueta,248,16115.0,769.1818181818181
canyelles,86,15672.4,771.0
les roquetes,255,10987.6,778.5
verdun,537,11878.125,787.5
la prosperitat,451,13356.2,801.5
la trinitat nova,130,10805.4,814.0
torre baró,17,10069.5,817.5
ciutat meridiana,293,9271.333333333334,821.5
vallbona,23,10461.0,825.0
la trinitat vella,128,10608.2,829.0
baró de viver,115,10765.5,832.5
el bon pastor,73,13169.285714285714,837.0
sant andreu,310,17710.28205128205,860.0
la sagrera,298,16487.15,890.6
el congrés i els indians,352,16435.444444444445,903.0
navas,521,16972.69230769231,914.0
el camp de l'arpa del clot,518,17710.16,934.0
el clot,381,17437.5,954.5
el parc i la llacuna del poblenou,139,18723.666666666668,967.0
la vila olímpica del poblenou,100,25614.4,974.0
el poblenou,217,18686.7,986.5
diagonal mar i el front marítim del poblenou,109,21127.5,998.5
